DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B
DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B,,Prithvi Shaw,c & b Shreyas Gopal,47,25,188.00,4,4
DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B,,Colin Munro,c Jos Buttler b Dhawal Kulkarni,0,1,0.00,0,0
DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B,,Shreyas Iyer,c Rahul Tripathi b Jaydev Unadkat,50,35,142.85,3,3
DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B,,Rishabh Pant,c Ben Stokes b Jaydev Unadkat,69,29,237.93,7,5
DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B,,Glenn Maxwell,lbw Jofra Archer,5,5,100.00,0,0
DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B,,Vijay Shankar,c Rahul Tripathi b Jaydev Unadkat,17,6,283.33,2,1
DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B,,Liam Plunkett,NOT OUT,1,2,50.00,0,0
RAJASTHAN ROYALS INNINGS (RUN RATE: 12.16),Match 32,B
RAJASTHAN ROYALS INNINGS (RUN RATE: 12.16),Match 32,B,,D'Arcy Short,c Avesh Khan b Glenn Maxwell,44,25,176.00,2,4
RAJASTHAN ROYALS INNINGS (RUN RATE: 12.16),Match 32,B,,Jos Buttler,st Rishabh Pant b Amit Mishra,67,26,257.69,4,7
RAJASTHAN ROYALS INNINGS (RUN RATE: 12.16),Match 32,B,,Sanju Samson,c Colin Munro b Trent Boult,3,5,60.00,0,0
RAJASTHAN ROYALS INNINGS (RUN RATE: 12.16),Match 32,B,,Ben Stokes,c Avesh Khan b Trent Boult,1,2,50.00,0,0
RAJASTHAN ROYALS INNINGS (RUN RATE: 12.16),Match 32,B,,Rahul Tripathi,run out (Rishabh Pant/Trent Boult),9,8,112.50,1,0
RAJASTHAN ROYALS INNINGS (RUN RATE: 12.16),Match 32,B,,Krishnappa Gowtham,NOT OUT,18,6,300.00,2,1
RAJASTHAN ROYALS INNINGS (RUN RATE: 12.16),Match 32,B,,Jofra Archer,NOT OUT,0,0,0.00,0,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B,,Manan Vohra,lbw Mayank Markande,45,31,145.16,2,4
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B,,Quinton de Kock,c Rohit Sharma b Mitchell McClenaghan,7,13,53.84,1,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B,,Brendon McCullum,run out (Hardik Pandya),37,25,148.00,4,2
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B,,Virat Kohli,c Kieron Pollard b Hardik Pandya,32,26,123.07,2,1
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B,,Mandeep Singh,c Suryakumar Yadav b Hardik Pandya,14,10,140.00,1,1
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B,,Colin de Grandhomme,NOT OUT,23,10,230.00,0,3
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B,,Washington Sundar,c Rohit Sharma b Hardik Pandya,1,3,33.33,0,0
